Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2021/2022;Albania;;Austria;;2;0
2021/2022;Albania;;Azerbaijan;;2;0
2021/2022;Albania;;Bahrain;;2;0
2021/2022;Albania;;Bosnia-Herzegovina;;4;0
2021/2022;Albania;;Brazil;;10;0
2021/2022;Albania;;Canada;;2;0
2021/2022;Albania;;Croatia;;6;0
2021/2022;Albania;;Denmark;;2;0
2021/2022;Albania;;Spain;;4;0
2021/2022;Albania;;France;;2;0
2021/2022;Albania;;Germany;;4;0
2021/2022;Albania;;Greece;;16;0
2021/2022;Albania;;Hungary;;2;80716,6189
2021/2022;Albania;;Iran;;2;0
2021/2022;Albania;;Italy;;4;0
2021/2022;Albania;;Kenya;;4;282508,1662
2021/2022;Albania;;Saudi Arabia;;4;0
2021/2022;Albania;;Kosovo;;4;0
2021/2022;Albania;;FYR Macedonia;;16;0
2021/2022;Albania;;Malta;;4;0
2021/2022;Albania;;Montenegro;;10;0
2021/2022;Albania;;Nigeria;;18;0
2021/2022;Albania;;Portugal;;2;0
2021/2022;Albania;;Romania;;2;0
2021/2022;Albania;;San Marino;;2;0
2021/2022;Albania;;Serbia;;24;0
2021/2022;Albania;;Switzerland;;2;0
2021/2022;Albania;;Slovenia;;2;0
2021/2022;Albania;;Sweden;;4;0
2021/2022;Albania;;Ukraine;;2;0
2021/2022;Albania;;USA;;2;30000
2021/2022;Armenia;;Belgium;;2;0
2021/2022;Armenia;;Brazil;;6;0
2021/2022;Armenia;;Bulgaria;;2;0
2021/2022;Armenia;;Côte d'Ivoire;;8;60000
2021/2022;Armenia;;Spain;;4;0
2021/2022;Armenia;;Estonia;;2;0
2021/2022;Armenia;;Georgia;;8;0
2021/2022;Armenia;;Iran;;6;0
2021/2022;Armenia;;Kazakhstan;;2;0
2021/2022;Armenia;;Lebanon;;2;0
2021/2022;Armenia;;Morocco;;2;0
2021/2022;Armenia;;Moldova;;4;30000
2021/2022;Armenia;;Norway;;2;0
2021/2022;Armenia;;Oman;;2;0
2021/2022;Armenia;;Portugal;;2;0
2021/2022;Armenia;;Russia;;14;0
2021/2022;Armenia;;Senegal;;2;0
2021/2022;Armenia;;Serbia;;6;0
2021/2022;Armenia;;Slovenia;;2;0
2021/2022;Armenia;;Ukraine;;8;0
2021/2022;Austria;;Albania;;2;0
2021/2022;Austria;;Australia;;2;0
2021/2022;Austria;;Belgium;;2;0
2021/2022;Austria;;Bosnia-Herzegovina;;2;0
2021/2022;Austria;;Brazil;;16;5085146,991
2021/2022;Austria;;Croatia;;10;1008957,736
2021/2022;Austria;;Czech Republic;;6;242149,8567
2021/2022;Austria;;Denmark;;2;0
2021/2022;Austria;;England;;2;5448371,776
2021/2022;Austria;;Spain;;22;4035830,945
2021/2022;Austria;;Georgia;;2;0
2021/2022;Austria;;Germany;;30;0
2021/2022;Austria;;Greece;;2;0
2021/2022;Austria;;Hungary;;8;0
2021/2022;Austria;;Israel;;2;0
2021/2022;Austria;;Italy;;2;0
2021/2022;Austria;;Latvia;;2;0
2021/2022;Austria;;Montenegro;;2;0
2021/2022;Austria;;Netherlands;;10;403583,0945
2021/2022;Austria;;Poland;;4;0
2021/2022;Austria;;Portugal;;2;0
2021/2022;Austria;;Scotland;;2;0
2021/2022;Austria;;Serbia;;2;0
2021/2022;Austria;;Switzerland;;8;282508,1662
2021/2022;Austria;;Slovakia;;8;0
2021/2022;Austria;;Slovenia;;2;0
2021/2022;Austria;;Turkey;;2;0
2021/2022;Austria;;Uruguay;;2;0
2021/2022;Austria;;USA;;2;0
2021/2022;Azerbaijan;;Austria;;2;0
2021/2022;Azerbaijan;;Belgium;;2;0
2021/2022;Azerbaijan;;Bosnia-Herzegovina;;6;0
2021/2022;Azerbaijan;;Belarus;;4;0
