Month,Day,Day Of Week,Airline,Origin Airport Delay Rate,Destination Airport Delay Rate,Scheduled Time,Distance,Scheduled Departure Hour,Scheduled Departure Minute,Arrival Delay
1,2,5,WN,0.0,0.0,225,1390,8,55,-13.0
1,4,7,AA,0.0,0.5909090909090909,172,1096,8,30,-12.0
1,4,7,US,0.0,0.0,46,130,0,30,189.0
1,3,6,WN,0.0,0.0,160,925,9,25,-7.0
1,5,1,EV,0.6333333333333333,0.0,69,113,5,46,-4.0
1,2,5,EV,0.0,0.0,142,721,9,7,3.0
1,4,7,WN,0.0,0.0,80,436,13,25,12.0
1,2,5,AS,0.0,0.0,240,1533,13,35,-1.0
1,3,6,AA,0.0,0.51004702864472,192,1121,13,35,4.0
1,5,1,UA,0.6091626479614204,0.0,115,723,14,14,2.0
1,1,4,MQ,0.5535870516185477,0.0,128,812,18,10,23.0
1,2,5,EV,0.5535870516185477,0.0,121,731,20,15,11.0
1,4,7,AA,0.0,0.51004702864472,195,1119,7,45,-7.0
1,4,7,DL,0.5182724252491694,0.0,167,760,18,15,101.0
1,6,2,AA,0.0,0.5669613974552512,200,1182,10,30,3.0
1,6,2,WN,0.0,0.0,260,1411,12,50,11.0
1,3,6,AA,0.5535870516185477,0.5135135135135135,140,769,17,20,48.0
1,3,6,US,0.0,0.0,401,2860,11,35,0.0
1,5,1,EV,0.5356359649122807,0.68,65,332,13,50,21.0
1,4,7,AA,0.0,0.0,200,1242,12,20,30.0
1,3,6,AA,0.0,0.51004702864472,275,1562,9,25,-23.0
1,5,1,AA,0.5535870516185477,0.0,145,986,20,50,38.0
1,3,6,DL,0.5576923076923077,0.0,88,317,6,55,-7.0
1,4,7,EV,0.0,0.0,61,240,9,59,-3.0
1,3,6,OO,0.0,0.5609756097560976,103,463,19,55,63.0
1,2,5,EV,0.0,0.0,106,489,10,58,-4.0
1,4,7,WN,0.0,0.0,80,368,14,25,-7.0
1,1,4,WN,0.0,0.0,85,446,18,45,6.0
1,3,6,AS,0.0,0.0,119,697,12,0,9.0
1,3,6,US,0.0,0.0,206,1262,14,30,-20.0
1,2,5,AA,0.0,0.0,161,1045,11,5,24.0
1,5,1,AS,0.0,0.0,165,978,12,20,1.0
1,2,5,MQ,0.0,0.0,144,802,19,50,-14.0
1,1,4,UA,0.0,0.0,155,854,7,47,-5.0
1,1,4,DL,0.0,0.0,194,1428,17,30,14.0
1,2,5,MQ,0.5535870516185477,0.5392156862745098,73,364,13,15,32.0
1,5,1,EV,0.5259433962264151,0.0,76,299,19,49,-14.0
1,4,7,OO,0.0,0.0,91,521,11,5,-2.0
1,3,6,NK,0.5535870516185477,0.0,201,1235,7,15,4.0
1,2,5,AA,0.0,0.0,74,192,17,5,-7.0
1,6,2,EV,0.0,0.5669613974552512,60,173,6,0,47.0
1,1,4,DL,0.0,0.0,100,453,7,5,-32.0
1,5,1,OO,0.0,0.0,84,347,12,30,-5.0
1,6,2,WN,0.0,0.0,95,549,14,0,43.0
1,1,4,OO,0.0,0.0,90,373,16,25,21.0
1,4,7,B6,0.0,0.0,188,1237,13,42,5.0
1,2,5,EV,0.0,0.0,95,374,7,55,8.0
1,2,5,B6,0.5909090909090909,0.0,93,266,15,27,-7.0
1,7,3,DL,0.0,0.0,105,507,8,30,-5.0
1,2,5,WN,0.0,0.0,155,925,19,40,13.0
1,4,7,DL,0.0,0.0,64,152,15,35,-8.0
1,4,7,OO,0.0,0.5013150973172015,65,230,12,40,3.0
1,6,2,EV,0.6024960169941582,0.0,149,1048,10,57,1.0
1,3,6,DL,0.0,0.0,172,991,19,15,14.0
1,7,3,MQ,0.5454545454545454,0.51004702864472,143,690,7,2,8.0
1,6,2,WN,0.0,0.0,145,829,10,5,3.0
1,5,1,HA,0.0,0.0,32,102,22,56,-3.0
