Height,Weight
167.0,51.0
182.0,61.0
176.0,69.0
173.0,64.0
172.0,65.0
174.0,55.0
177.0,64.0
178.0,61.0
172.0,51.0
170.0,54.0
169.0,57.0
172.0,51.0
173.0,57.0
170.0,55.0
173.0,52.0
181.0,63.0
169.0,58.0
174.0,64.0
181.0,62.0
171.0,56.0
172.0,64.0
175.0,65.0
161.0,44.0
174.0,58.0
172.0,64.0
171.0,58.0
180.0,64.0
171.0,59.0
169.0,49.0
166.0,51.0
177.0,46.0
167.0,54.0
172.0,57.0
179.0,61.0
182.0,63.0
176.0,58.0
170.0,64.0
172.0,55.0
172.0,59.0
163.0,48.0
174.0,56.0
166.0,56.0
177.0,63.0
173.0,62.0
168.0,48.0
174.0,58.0
170.0,66.0
172.0,53.0
177.0,65.0
175.0,61.0
178.0,66.0
171.0,57.0
178.0,56.0
176.0,52.0
166.0,56.0
178.0,67.0
179.0,70.0
169.0,58.0
169.0,54.0
172.0,60.0
169.0,58.0
175.0,62.0
173.0,58.0
170.0,58.0
180.0,61.0
173.0,49.0
175.0,64.0
172.0,60.0
171.0,47.0
171.0,56.0
166.0,58.0
180.0,60.0
178.0,63.0
163.0,46.0
173.0,58.0
169.0,54.0
174.0,62.0
166.0,60.0
177.0,52.0
172.0,55.0
174.0,61.0
170.0,55.0
178.0,70.0
168.0,58.0
176.0,58.0
176.0,63.0
171.0,63.0
178.0,59.0
178.0,55.0
173.0,59.0
173.0,61.0
178.0,64.0
182.0,63.0
176.0,50.0
178.0,60.0
179.0,59.0
168.0,54.0
161.0,55.0
170.0,58.0
175.0,52.0
165.0,46.0
170.0,59.0
174.0,60.0
167.0,44.0
172.0,52.0
173.0,56.0
172.0,55.0
168.0,57.0
176.0,58.0
162.0,57.0
172.0,55.0
178.0,57.0
178.0,59.0
168.0,50.0
178.0,55.0
174.0,58.0
175.0,60.0
177.0,61.0
166.0,52.0
175.0,62.0
167.0,54.0
171.0,49.0
176.0,58.0
175.0,61.0
173.0,48.0
167.0,55.0
169.0,49.0
173.0,54.0
175.0,63.0
178.0,60.0
173.0,60.0
181.0,59.0
176.0,52.0
164.0,56.0
181.0,58.0
173.0,61.0
167.0,52.0
171.0,57.0
188.0,68.0
178.0,59.0
177.0,61.0
166.0,51.0
173.0,56.0
174.0,57.0
166.0,48.0
173.0,52.0
174.0,60.0
164.0,51.0
175.0,59.0
175.0,62.0
177.0,56.0
171.0,62.0
169.0,54.0
168.0,63.0
184.0,62.0
163.0,48.0
180.0,72.0
171.0,49.0
183.0,62.0
166.0,52.0
170.0,66.0
164.0,49.0
176.0,63.0
174.0,54.0
166.0,58.0
171.0,57.0
174.0,52.0
168.0,56.0
171.0,57.0
168.0,50.0
176.0,55.0
173.0,56.0
172.0,56.0
166.0,54.0
188.0,63.0
